,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie
Sherlock,8.1,Série de   Mark Gatiss et   Steven Moffat,"Policier, drame et thriller",5 saisons(en cours),BBC One,1 h 30 min,25 juillet 2010
The Walking Dead,6.7,Série de   Frank Darabont,Épouvante-horreur et drame,10 saisons(en cours),AMC,43 min,11 octobre 2010
Boardwalk Empire,7.6,Série de   Terence Winter,Drame,5 saisons(terminée),HBO,1 h,19 septembre 2010
Luther,7.6,Série de   Neil Cross,Policier et drame,5 saisons(en cours),BBC One,1 h,4 mai 2010
Band of Brothers : L'enfer du Pacifique,7.5,Série de   Bruce McKenna,"Mini-série, drame et guerre",1 saison(terminée),HBO,50 min,14 mars 2010
Downton Abbey,7.6,Série de   Julian Fellowes,Drame,6 saisons(terminée),ITV,1 h,26 septembre 2010
Spartacus,6.7,Série de   Steven S. DeKnight,"Action, drame et historique",3 saisons(terminée),Starz,1 h,22 janvier 2010
Game of Thrones,8.2,Série de   David Benioff et   D.B. Weiss,"Aventure, drame et fantasy",8 saisons(terminée),HBO,52 min,5 décembre 2010
Treme,8.1,Série de   David Simon et   Eric Overmyer,Drame,4 saisons(terminée),HBO,1 h,11 avril 2010
Justified,7.2,Série de   Graham Yost,"Policier, drame et action",6 saisons(terminée),FX,45 min,16 mars 2010
Louie,7.7,Série de   Louis C.K.,Comédie et drame,5 saisons(terminée),FX (US),25 min,29 juin 2010
Rubicon,7.5,Série de   Jason Horwitch,"Thriller, policier et drame",1 saison(arrêtée),AMC,1 h,13 juin 2010
"Borgen, une femme au pouvoir",7.8,Série de   Adam Price,Drame,3 saisons(terminée),DR1,59 min,26 septembre 2010
La Ligue des justiciers : Nouvelle Génération,7.4,Dessin animé de   Greg Weisman et   Brandon Vietti,"Action, animation et jeunesse",2 saisons(en cours),DC Universe,25 min,26 novembre 2010
Les Piliers de la Terre,7.1,Série de   John Pielmeier,"Thriller, drame et mini-série",1 saison(terminée),Starz,1 h,23 juillet 2010
The Tatami Galaxy,8.3,Anime de   Masaaki Yuasa,Animation et comédie,1 saison(terminée),Fuji TV,25 min,23 avril 2010
Faux Raccord,7.4,Émission Web,"Comédie, documentaire et mini-série",8 saisons(en cours),Allociné,10 min,15 janvier 2010
This is England,7.9,Série de   Shane Meadows,"Mini-série, policier et drame",3 saisons(en cours),Channel 4,1 h,7 septembre 2010
La Folle Histoire du Palmashow,7.4,"Émission TV de   Grégoire Ludig,   David Marsais et   Jonathan Barré",Comédie,(terminée),Direct 8,6 min,26 septembre 2010
Raising Hope,6.9,Série de   Gregory Thomas Garcia,Comédie,4 saisons(terminée),FOX (US),25 min,21 septembre 2010
How to Make It in America,6.9,Série de   Ian Edelman,Comédie dramatique,2 saisons(arrêtée),HBO,30 min,14 février 2010
Ugly Americans,7.7,Dessin animé de   David M. Stern et   Devin Clark,Comédie et animation,2 saisons(terminée),Comedy Central (US),25 min,17 mars 2010
Rizzoli et Isles,5.8,Série de   Tess Gerritsen et   Janet Tamaro,Policier et drame,7 saisons(terminée),TNT (US),45 min,12 juillet 2010
Scooby-Doo : Mystères associés,6.2,Dessin animé de   Joe Ruby et   Ken Spears,"Comédie, jeunesse et animation",2 saisons(terminée),Cartoon Network,25 min,12 juillet 2010
Strike Back,6.7,Série de   Andy Harries,"Action, aventure et drame",8 saisons(terminée),Cinemax,45 min,5 mai 2010
